"NSFTV.ID","Exp","Rep","DayOfImaging","PSA"
"NSFTV_104","E1","2",1,NA
"NSFTV_104","E1","2",2,NA
"NSFTV_104","E1","2",3,NA
"NSFTV_104","E1","2",4,NA
"NSFTV_104","E1","2",5,NA
"NSFTV_104","E1","2",6,NA
"NSFTV_104","E1","2",7,NA
"NSFTV_104","E1","2",8,NA
"NSFTV_104","E1","2",9,NA
"NSFTV_104","E1","2",10,NA
"NSFTV_104","E1","2",11,NA
"NSFTV_104","E1","2",12,NA
"NSFTV_104","E1","2",13,NA
"NSFTV_104","E1","2",14,NA
"NSFTV_104","E1","2",15,NA
"NSFTV_104","E1","2",16,NA
"NSFTV_104","E1","2",17,NA
"NSFTV_104","E1","2",18,NA
"NSFTV_104","E1","2",19,NA
"NSFTV_104","E1","2",20,NA
"NSFTV_104","E2","1",1,14038
"NSFTV_104","E2","1",2,17479
"NSFTV_104","E2","1",3,18165
"NSFTV_104","E2","1",4,20450
"NSFTV_104","E2","1",5,24644
"NSFTV_104","E2","1",6,31741
"NSFTV_104","E2","1",7,38516
"NSFTV_104","E2","1",8,41427
"NSFTV_104","E2","1",9,41977
"NSFTV_104","E2","1",10,48448
"NSFTV_104","E2","1",11,59224
"NSFTV_104","E2","1",12,63817
"NSFTV_104","E2","1",13,69573
"NSFTV_104","E2","1",14,72180
"NSFTV_104","E2","1",15,89971
"NSFTV_104","E2","1",16,112010
"NSFTV_104","E2","1",17,123720
"NSFTV_104","E2","1",18,132954
"NSFTV_104","E2","1",19,139931
"NSFTV_104","E2","1",20,153236
"NSFTV_104","E2","2",1,NA
"NSFTV_104","E2","2",2,NA
"NSFTV_104","E2","2",3,NA
"NSFTV_104","E2","2",4,NA
"NSFTV_104","E2","2",5,NA
"NSFTV_104","E2","2",6,NA
"NSFTV_104","E2","2",7,NA
"NSFTV_104","E2","2",8,NA
"NSFTV_104","E2","2",9,NA
"NSFTV_104","E2","2",10,NA
"NSFTV_104","E2","2",11,NA
"NSFTV_104","E2","2",12,NA
"NSFTV_104","E2","2",13,NA
"NSFTV_104","E2","2",14,NA
"NSFTV_104","E2","2",15,NA
"NSFTV_104","E2","2",16,NA
"NSFTV_104","E2","2",17,NA
"NSFTV_104","E2","2",18,NA
"NSFTV_104","E2","2",19,NA
"NSFTV_104","E2","2",20,NA
"NSFTV_104","E3","1",1,15102
"NSFTV_104","E3","1",2,16411
"NSFTV_104","E3","1",3,18671
"NSFTV_104","E3","1",4,23736
"NSFTV_104","E3","1",5,25323
"NSFTV_104","E3","1",6,29801
"NSFTV_104","E3","1",7,39507
"NSFTV_104","E3","1",8,50359
"NSFTV_104","E3","1",9,58595
"NSFTV_104","E3","1",10,71452
"NSFTV_104","E3","1",11,88998
"NSFTV_104","E3","1",12,117884
"NSFTV_104","E3","1",13,125889
"NSFTV_104","E3","1",14,153139
"NSFTV_104","E3","1",15,191929
"NSFTV_104","E3","1",16,232830
"NSFTV_104","E3","1",17,256913
"NSFTV_104","E3","1",18,299935
"NSFTV_104","E3","1",19,345076
"NSFTV_104","E3","1",20,411566
"NSFTV_104","E3","2",1,NA
"NSFTV_104","E3","2",2,NA
"NSFTV_104","E3","2",3,NA
"NSFTV_104","E3","2",4,NA
"NSFTV_104","E3","2",5,NA
"NSFTV_104","E3","2",6,NA
"NSFTV_104","E3","2",7,NA
"NSFTV_104","E3","2",8,NA
"NSFTV_104","E3","2",9,NA
"NSFTV_104","E3","2",10,NA
"NSFTV_104","E3","2",11,NA
"NSFTV_104","E3","2",12,NA
"NSFTV_104","E3","2",13,NA
"NSFTV_104","E3","2",14,NA
"NSFTV_104","E3","2",15,NA
"NSFTV_104","E3","2",16,NA
"NSFTV_104","E3","2",17,NA
"NSFTV_104","E3","2",18,NA
"NSFTV_104","E3","2",19,NA
"NSFTV_104","E3","2",20,NA
"NSFTV_105","E1","1",1,18252
"NSFTV_105","E1","1",2,23609
"NSFTV_105","E1","1",3,28364
"NSFTV_105","E1","1",4,42522
"NSFTV_105","E1","1",5,53251
"NSFTV_105","E1","1",6,63923
"NSFTV_105","E1","1",7,80586
